competitor_name,metal,use_category,region,business_type,price_positioning,city,state,locality,website,instagram_handle,facebook_account,rating_avg,review_count,market_presence_label,snapshot_date
Sri Ganesh Diamonds & Jewellery,Diamond,General,Pan-India,Showroom,unknown,Bengaluru,Karnataka,"17th Cross 7th Sector HSR Layout, Bangalore",,,,4.9,467,High,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Akshata Jewellers,Multi-Metal,General,Pan-India,Showroom,unknown,Mangalore,Karnataka,Maidan West Road Bunder,,,,5,1,Low,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Era Italian Silver,Silver,General,Pan-India,Showroom,unknown,Mangalore,Karnataka,City Centre Mall 3rd Floor Ks Rao Road,,,,4.3,13,Low,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
G T C And Jewellery,Multi-Metal,General,Pan-India,Showroom,unknown,Mangalore,Karnataka,Gollathill Kuntikana,,,,4.9,7,Low,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Haji Gold,Gold,General,Pan-India,Showroom,unknown,Mangalore,Karnataka,NH 66 Thokottu,,,,3.9,14,Low,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Iqra Gold,Gold,General,Pan-India,Showroom,unknown,Mangalore,Karnataka,Mission Street Bunder,,,,4.3,6,Low,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
New Arun Jewellers,Multi-Metal,General,Pan-India,Showroom,unknown,Mangalore,Karnataka,GHS Cross Road Bhavanthi Street,,,,4.4,34,Low,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Prasanna Jewellers,Multi-Metal,General,Pan-India,Showroom,unknown,Mangalore,Karnataka,Market Road,,,,4.6,65,Medium,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
S L Shet Diamond House,Diamond,General,Pan-India,Showroom,unknown,Mangalore,Karnataka,Gandhinagar Lady Hill,,,,4.4,398,High,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Sharmila Jewellery Bharath Finance,Multi-Metal,General,Pan-India,Showroom,unknown,Mangalore,Karnataka,Balmatta Road Hampankatta,,,,3.8,14,Low,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Sri Laxmi Jewellers,Multi-Metal,General,Pan-India,Showroom,unknown,Mangalore,Karnataka,Bolar Road,,,,4.4,29,Low,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
A Shankara Chetty & Sons,Multi-Metal,General,Pan-India,Showroom,unknown,Mysuru,Karnataka,"Sayajji Rao Road Kr Circle Mysore, Mysore",,,,4.3,131,Medium,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Chamundeshwari Gold & Silver,Gold+Silver,General,Pan-India,Showroom,unknown,Mysuru,Karnataka,"M G Koppal Main Road Hebbal, Mysore",,,,4.6,495,High,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Cvr Jewellers,Multi-Metal,General,Pan-India,Showroom,unknown,Mysuru,Karnataka,"Kumbargeri Road Lashkar Mohalla, Mysore",,,,4.7,239,High,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Cvr Luxury Family Store,Multi-Metal,General,Pan-India,Showroom,unknown,Mysuru,Karnataka,"Kr Hospital Road Gandhi Square, Mysore",,,,5,4,Low,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Guru Diamonds And Jewellery Works,Diamond,General,Pan-India,Showroom,unknown,Mysuru,Karnataka,"Kurubarageri Lashkar Mohalla, Mysore",,,,3.9,10,Low,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Lalitha Jewellery Mart,Multi-Metal,General,Pan-India,Showroom,unknown,Mysuru,Karnataka,"Ashoka Road Lashkar Mohalla, Mysore",,,,4.3,2033,High,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
New Shubhm Jewellers,Multi-Metal,General,Pan-India,Showroom,unknown,Mysuru,Karnataka,"KR Hospital Road Lashkar Mohalla, Mysore",,,,3.8,97,Medium,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
R R Jeweller,Multi-Metal,General,Pan-India,Showroom,unknown,Mysuru,Karnataka,"9th Cross TK Layout, Mysore",,,,5,7,Low,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Sharada Jewellers,Multi-Metal,General,Pan-India,Showroom,unknown,Mysuru,Karnataka,"Devaraj Urs Road Devaraja Mohalla, Mysore",,,,4.3,137,Medium,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Shree Vimaleshwara Jewellery Works,Multi-Metal,General,Pan-India,Showroom,unknown,Mysuru,Karnataka,"Basavanahalli Main Road Vijaynagar 4th Stage, Mysore",,,,4.9,12,Low,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Ishal Rental Jewellery,Multi-Metal,General,Pan-India,Showroom,unknown,Kochi,Kerala,"Pullupalam Road Kunnumpuram Kochi Fort, Ernakulam",,,,4.7,65,Medium,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Khaira - Rental Jewellery,Multi-Metal,General,Pan-India,Showroom,unknown,Kochi,Kerala,"Pullupalam Roadkunnumpuram Road Kunnumupuram, Ernakulam",,,,4.6,57,Medium,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Kollam Supreme,Multi-Metal,General,Pan-India,Showroom,unknown,Kochi,Kerala,Convent Junction Amaravathy,,,,4.4,236,High,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Lulu Fashion Jewellery,Multi-Metal,Contemporary,Pan-India,Showroom,unknown,Kochi,Kerala,Pullupalam Road Kunnumupuram,,,,4.3,36,Low,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Nakshatra Gold and Diamonds,Gold+Diamond,General,Pan-India,Showroom,unknown,Kochi,Kerala,"Aroor Thopumpady Road Thoppumpady, Ernakulam",,,,4.6,954,High,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Palace Jewellery,Multi-Metal,General,Pan-India,Showroom,unknown,Kochi,Kerala,"Palace Road Mattancherry, Ernakulam",,,,4.2,41,Low,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Rajadhani Jewellery,Multi-Metal,General,Pan-India,Showroom,unknown,Kochi,Kerala,"Edappally Pukkattupady Road Edapally, Ernakulam",,,,4.6,488,High,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Amaya The Jewel Boutique,Multi-Metal,General,Pan-India,Boutique,unknown,Kozhikode,Kerala,Thondayad Bypass Bhayankav Road,,,,4.6,4,Low,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Cammilli Diamond and Gold,Gold+Diamond,General,Pan-India,Showroom,unknown,Kozhikode,Kerala,Mavoor Road Parayanchery,,,,4.7,276,High,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Diya Gold And Diamonds,Gold+Diamond,General,Pan-India,Showroom,unknown,Kozhikode,Kerala,Iritty Perambra,,,,4.2,226,High,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
IMG GOLD BUYERS,Gold,General,Pan-India,Showroom,unknown,Kozhikode,Kerala,Vandipetta Junction,,,,5,157,Medium,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Jewellery By La Broiche,Multi-Metal,General,Pan-India,Showroom,unknown,Kozhikode,Kerala,Pm Kutty Road East Nadakkave,,,,4.4,245,High,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
MINAR FASHION JEWELLERY,Multi-Metal,Contemporary,Pan-India,Showroom,unknown,Kozhikode,Kerala,S.M.STREET Palayam,,,,4.5,525,High,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Nirmaliyam Jewellery,Multi-Metal,General,Pan-India,Showroom,unknown,Kozhikode,Kerala,Mele Palayam Road S M Street,,,,5,1,Low,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Sai Pearls & Gems,Pearl,General,Pan-India,Showroom,unknown,Kozhikode,Kerala,Ram Mohan Road Calicut,,,,3.9,55,Medium,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Shazana Gold and Diamond,Gold+Diamond,General,Pan-India,Showroom,unknown,Kozhikode,Kerala,Mini Bypass Road Mankave,,,,5,3,Low,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Silver Shop,Silver,General,Pan-India,Showroom,unknown,Kozhikode,Kerala,Queens Road Vadakara Bazar,,,,4.4,4,Low,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Malavika Jewellers,Multi-Metal,General,Pan-India,Showroom,unknown,Thiruvananthapuram,Kerala,Aryasala,,,,4.2,324,High,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Manjali Thrissur Fashion Jewellers,Multi-Metal,Contemporary,Pan-India,Showroom,unknown,Thiruvananthapuram,Kerala,Manjali Jewellers Attingal,,,,4.3,463,High,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Oh By Ozy,Multi-Metal,General,Pan-India,Showroom,unknown,Thiruvananthapuram,Kerala,Peroor Nagar Kowdiar,,,,4.1,857,High,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
PereppadanS Gold & Diamonds,Gold+Diamond,General,Pan-India,Showroom,unknown,Thiruvananthapuram,Kerala,Layathil Building Nedumangad,,,,4.8,3237,High,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Phoenix Gold and Silver,Gold+Silver,General,Pan-India,Showroom,unknown,Thiruvananthapuram,Kerala,Main Road Nedumangadu,,,,4,1,Low,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Sree Ajaya Jewellery,Multi-Metal,General,Pan-India,Showroom,unknown,Thiruvananthapuram,Kerala,Kottakkakom Thiruvananthapuram Fort,,,,4.3,41,Low,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Sree Subbiah Jewellers,Multi-Metal,General,Pan-India,Showroom,unknown,Thiruvananthapuram,Kerala,Balaramapuram Main Road-Balaramapuram,,,,4.2,51,Medium,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Subbiah Jewellery,Multi-Metal,General,Pan-India,Showroom,unknown,Thiruvananthapuram,Kerala,inside Fort Thiruvananthapuram,,,,4.7,63,Medium,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Theertham Jewellers,Multi-Metal,General,Pan-India,Showroom,unknown,Thiruvananthapuram,Kerala,Thiruvananthapuram Neyyar Dam Road Thirumala,,,,3.9,60,Medium,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Thrissur Grace Jewellery,Multi-Metal,General,Pan-India,Showroom,unknown,Thiruvananthapuram,Kerala,Thirumala,,,,4,45,Low,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Agarwal Diamond,Diamond,General,Pan-India,Showroom,unknown,Bhopal,MadhyaPradesh,Platinum Plaza Tt Nagar,,,,5,3,Low,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Amrapali Jewellers,Multi-Metal,General,Pan-India,Showroom,unknown,Bhopal,MadhyaPradesh,Counter Market New,,,,4.5,211,High,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Amrapali Jewellers Ratan Showroom,Multi-Metal,General,Pan-India,Showroom,unknown,Bhopal,MadhyaPradesh,10 No. Market Arera Colony,,,,4.6,304,High,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Chandrapushp Johari Jewellers,Multi-Metal,General,Pan-India,Showroom,unknown,Bhopal,MadhyaPradesh,Ultimate Plaza-1 Reliance Fresh Building Kolar Road,,,,4.2,11,Low,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Johri Bandhu Jewellers,Multi-Metal,General,Pan-India,Showroom,unknown,Bhopal,MadhyaPradesh,10 No Market Arera Colony,,,,4,99,Medium,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Kisna Diamond & Gold Jewellery,Gold+Diamond,General,Pan-India,Showroom,unknown,Bhopal,MadhyaPradesh,RajBhawan Road Malviya Nagar,,,,4.9,477,High,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Krishnam Jewellers,Multi-Metal,General,Pan-India,Showroom,unknown,Bhopal,MadhyaPradesh,New Market Tt Nagar,,,,4.8,667,High,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
New Shri Krishna Jewellers,Multi-Metal,General,Pan-India,Showroom,unknown,Bhopal,MadhyaPradesh,Minal Shopping Street J K Road,,,,4.3,23,Low,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Shree Ganesh Jewellers,Multi-Metal,General,Pan-India,Showroom,unknown,Bhopal,MadhyaPradesh,G-3/361-362 Abhinav Appartment Gulmohar Colony,,,,4.8,5,Low,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Swarna Sukh,Gold,General,Pan-India,Showroom,unknown,Bhopal,MadhyaPradesh,Mandakini Sqaure Kolar Road,,,,4.5,61,Medium,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Agarwal Jewellers,Multi-Metal,General,Pan-India,Showroom,unknown,Gwalior,MadhyaPradesh,Moti Mall Daulatganj,,,,4.1,83,Medium,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Ganpat Lal Keshrimal Jewellers,Multi-Metal,General,Pan-India,Showroom,unknown,Gwalior,MadhyaPradesh,Laddu Wala Complex Sarafa Bazar,,,,4.5,5,Low,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Manish Jewellers,Multi-Metal,General,Pan-India,Showroom,unknown,Gwalior,MadhyaPradesh,Inderganj Chauraha Lashkar,,,,4.9,753,High,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Muskan Jewellers,Multi-Metal,General,Pan-India,Showroom,unknown,Gwalior,MadhyaPradesh,Near Sanjay Traders Lashkar,,,,5,20,Low,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Ornam Jewellers,Multi-Metal,General,Pan-India,Showroom,unknown,Gwalior,MadhyaPradesh,Bada Lashkar,,,,4.4,46,Low,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Rama Jewellers,Multi-Metal,General,Pan-India,Showroom,unknown,Gwalior,MadhyaPradesh,Heera Panna Complex Shop No 1 Gruond Floor Lashkar,,,,4.4,18,Low,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Ratanlal Saraf Jewellers,Multi-Metal,General,Pan-India,Showroom,unknown,Gwalior,MadhyaPradesh,Sarafa Bajar Lashkar,,,,4.5,12,Low,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Siddhivinayak Jewellers,Multi-Metal,General,Pan-India,Showroom,unknown,Gwalior,MadhyaPradesh,Chetnis Ki Goth Lashkar,,,,4.3,18,Low,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Suvarna Jewels,Multi-Metal,General,Pan-India,Showroom,unknown,Gwalior,MadhyaPradesh,Sarafa Bazar Lashkar,,,,4.6,256,High,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Wedding Point,Multi-Metal,Bridal,Pan-India,Showroom,unknown,Gwalior,MadhyaPradesh,Bada Road Lashkar,,,,4.3,17,Low,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Banarasi Jewellers,Multi-Metal,General,Pan-India,Showroom,unknown,Indore,MadhyaPradesh,Patnipura Main Road Malwa Mill,,,,4.5,14,Low,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Indriya,Multi-Metal,General,Pan-India,Showroom,unknown,Indore,MadhyaPradesh,Mahatma Gandhi Road Race Course,,,,4.8,420,High,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Jewellers Madanlal Chhaganlal,Multi-Metal,General,Pan-India,Showroom,unknown,Indore,MadhyaPradesh,MG Road Indore,,,,4.4,481,High,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Jewellers Nanabhai,Multi-Metal,General,Pan-India,Showroom,unknown,Indore,MadhyaPradesh,Race Course Road,,,,4.8,1594,High,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Maanik Jewellers,Multi-Metal,General,Pan-India,Showroom,unknown,Indore,MadhyaPradesh,M R 1 SECTOR Mahalaxmi Nagar,,,,4.3,13,Low,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
New Krishna Jewellers,Multi-Metal,General,Pan-India,Showroom,unknown,Indore,MadhyaPradesh,Nariman Point Road Mahalaxmi Nagar,,,,4.8,71,Medium,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Rajat Gems & Jewelleries,Multi-Metal,General,Pan-India,Showroom,unknown,Indore,MadhyaPradesh,570 M G Road MG Indore,,,,4,96,Medium,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Ratna House Jewel,Multi-Metal,General,Pan-India,Showroom,unknown,Indore,MadhyaPradesh,Gold Plaza Nipania Indore,,,,4.9,92,Medium,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Vishal Jewellers,Multi-Metal,General,Pan-India,Showroom,unknown,Indore,MadhyaPradesh,Ab Road Manglia,,,,3.8,54,Medium,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Yashika Jewellers,Multi-Metal,General,Pan-India,Showroom,unknown,Indore,MadhyaPradesh,Nanda Nagar Main Road,,,,5,1,Low,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Abhushan Jewellers,Multi-Metal,General,Pan-India,Showroom,unknown,Mumbai,Maharashtra,N G Park Dahisar East,,,,3.7,14,Low,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Arihant Jewellers,Multi-Metal,General,Pan-India,Showroom,unknown,Mumbai,Maharashtra,"Waghbil-Thane West, Thane",,,,4.5,37,Low,Tue Oct 28 2025 00:00:00 GMT+0530 (India Standard Time)
Chandukaka Saraf Pvt Ltd,Multi-Metal,General,Pan-India,Showroom,unknown,Mumbai,Maharashtra,"Vadudev Balwant Phadke Road Panvel, Navi Mumbai",,,,4.8,916,High,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Deepak Jewellers,Multi-Metal,General,Pan-India,Showroom,unknown,Mumbai,Maharashtra,Station Road Jogeshwari East,,,,4.2,222,High,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Dev Bhairav Jewellers,Multi-Metal,General,Pan-India,Showroom,unknown,Mumbai,Maharashtra,"Mahalaxmi Nagar Auto Stand Ambernath, Thane",,,,4.4,13,Low,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Dinesh Jewellers,Multi-Metal,General,Pan-India,Showroom,unknown,Mumbai,Maharashtra,Prem Nagar Jogeshwari East,,,,4.4,97,Medium,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Heritage Jewels,Multi-Metal,General,Pan-India,Showroom,unknown,Mumbai,Maharashtra,J P Road Andheri West,,,,4.8,261,High,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Indriya (R City Mall),Multi-Metal,General,Pan-India,Retail Store,unknown,Mumbai,Maharashtra,Lal Bahadur Shastri Marg Ghatkopar West,,,,4.7,652,High,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
J S J,Multi-Metal,General,Pan-India,Showroom,unknown,Mumbai,Maharashtra,Andheri West Link Road,,,,5,33,Low,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Tanishq Jewellery,Multi-Metal,General,Pan-India,Chain,unknown,Mumbai,Maharashtra,S V Road Andheri West,,,,4.9,5680,High,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Bafna Jewellers,Multi-Metal,General,Pan-India,Showroom,unknown,Nagpur,Maharashtra,Nikalas Mandir Road Near Kothari Jeweelers Itwari,,,,4.8,158,Medium,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Bgr Walokar Jewellers,Multi-Metal,General,Pan-India,Showroom,unknown,Nagpur,Maharashtra,Sarafa Bazaar Itwari,,,,4.8,69,Medium,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Chimurkar Brothers Jewellers,Multi-Metal,General,Pan-India,Showroom,unknown,Nagpur,Maharashtra,Sarafa Bazar Itwari,,,,4.9,35,Low,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Karan Kothari Jewellers,Multi-Metal,General,Pan-India,Showroom,unknown,Nagpur,Maharashtra,Nikalas Mandir Road Itwari,,,,4.5,1936,High,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Londe Jewellers,Multi-Metal,General,Pan-India,Showroom,unknown,Nagpur,Maharashtra,Bazar Road Gokulpeth,,,,4.7,3230,High,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
M. Dhomne Jewellers,Multi-Metal,General,Pan-India,Showroom,unknown,Nagpur,Maharashtra,Himalaya Excellence Pratap Nagar,,,,4.1,40,Low,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Parekh Brothers Jewellers,Multi-Metal,General,Pan-India,Showroom,unknown,Nagpur,Maharashtra,WHC Road Shankar Nagar,,,,4.8,616,High,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Pramod Jewellers & Gift Centre,Multi-Metal,General,Pan-India,Showroom,unknown,Nagpur,Maharashtra,Hingana Road Nagpur MIDC,,,,4.4,62,Medium,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Rokde Jewellers,Multi-Metal,General,Pan-India,Showroom,unknown,Nagpur,Maharashtra,Badkas Chowk Mahal,,,,4.5,3189,High,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
SHREE JEWELLERS & SAREES,Multi-Metal,General,Pan-India,Showroom,unknown,Nagpur,Maharashtra,Sadachar Society Wadi,,,,4.7,134,Medium,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
A S Ashtekar Saraf,Multi-Metal,General,Pan-India,Showroom,unknown,Nashik,Maharashtra,Railway Station Road Nashik,,,,4.4,64,Medium,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Aarya Jewellers,Multi-Metal,General,Pan-India,Showroom,unknown,Nashik,Maharashtra,Jatra Hotel to Nadur Naka Road Panchavati,,,,3.9,38,Low,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Arvind Jewellers,Multi-Metal,General,Pan-India,Showroom,unknown,Nashik,Maharashtra,Saraf Bazar Road,,,,4.5,15,Low,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Deepak Jewellers,Multi-Metal,General,Pan-India,Showroom,unknown,Nashik,Maharashtra,Shivaji Chowk Ojhar,,,,4.2,222,High,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Kulswamini Jewellers Jalgaonkar,Multi-Metal,General,Pan-India,Showroom,unknown,Nashik,Maharashtra,Wadala-Pathardi Road Indira Nagar Nashik,,,,4.8,6,Low,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Ms Narayan Gopalsheth Adgaonkar,Multi-Metal,General,Pan-India,Showroom,unknown,Nashik,Maharashtra,Shop No. 912 Saraf Bazar,,,,5,9,Low,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Nrutyaa Diamond Jewellery,Diamond,General,Pan-India,Showroom,unknown,Nashik,Maharashtra,Sant Gajanan Maharaj Marg Saraf Bazar,,,,4.6,10,Low,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Pournima Jewellers,Multi-Metal,General,Pan-India,Showroom,unknown,Nashik,Maharashtra,Sahil Sharwari Recidency Satpur,,,,4.6,17,Low,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
VADNERE SARAF,Multi-Metal,General,Pan-India,Showroom,unknown,Nashik,Maharashtra,Gangapur Road,,,,4.1,82,Medium,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Yashwant Martand Maind,Multi-Metal,General,Pan-India,Showroom,unknown,Nashik,Maharashtra,Pagadbandh Lane Dahipool Nehru Chowk,,,,4.8,14,Low,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Gold Mart Jewellers,Gold,General,Pan-India,Showroom,unknown,Pune,Maharashtra,Main Road Pune Station,,,,4.1,401,High,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Indriya,Multi-Metal,General,Pan-India,Showroom,unknown,Pune,Maharashtra,Bund Garden Road Sangamwadi,,,,4.8,420,High,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Pawan Jewellers,Multi-Metal,General,Pan-India,Showroom,unknown,Pune,Maharashtra,Magar Ali Road Hadapsar,,,,4.5,295,High,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
RMK Jewellers,Multi-Metal,General,Pan-India,Showroom,unknown,Pune,Maharashtra,Chatrapati Shivaji Maharaj Chowk Hinjewadi,,,,4.9,133,Medium,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Ratnamani Gems and Jewellery,Multi-Metal,General,Pan-India,Showroom,unknown,Pune,Maharashtra,Old Pune Nashik Highway Pimpalgaon Tarfa Narayangaon,,,,3.5,2,Low,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Shri Jagdamba Jewellers,Multi-Metal,General,Pan-India,Showroom,unknown,Pune,Maharashtra,Patil Nagar Road Chikhali,,,,4.6,42,Low,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Shri Radhe Pearls,Pearl,General,Pan-India,Showroom,unknown,Pune,Maharashtra,Stellar Enclave Shop No-2 Aundh,,,,4.8,1627,High,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Tapadia Jewellers,Multi-Metal,General,Pan-India,Showroom,unknown,Pune,Maharashtra,Chandrika Society Bibvewadi,,,,4.3,47,Low,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
V K MALI JEWELLERS,Multi-Metal,General,Pan-India,Showroom,unknown,Pune,Maharashtra,Dehu Yelwadi Road,,,,4.6,222,High,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Carat Lane,Multi-Metal,General,Pan-India,Showroom,unknown,Imphal,Manipur,Thagmeiband Dm College manipur,,,,4.8,395,High,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Gomti Jewellery Cum Handloom House,Multi-Metal,General,Pan-India,Showroom,unknown,Imphal,Manipur,Lamphelpat,,,,4.8,25,Low,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Hakim Jewellery,Multi-Metal,General,Pan-India,Showroom,unknown,Imphal,Manipur,Masjid Road Imphal Bazar,,,,4.1,22,Low,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Jash Kangabam,Multi-Metal,General,Pan-India,Showroom,unknown,Imphal,Manipur,Kangabam Leikai Sagolband Thingom,,,,4.8,14,Low,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Krishna Prasad Gemstone And Jewellery,Gemstone,General,Pan-India,Showroom,unknown,Imphal,Manipur,Urirei Market Thangal Bazar,,,,4.8,18,Low,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Manikchand Jewellers,Multi-Metal,General,Pan-India,Showroom,unknown,Imphal,Manipur,Rims Road Uripok,,,,4.8,42,Low,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
